entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,order_receipt,method,dispute_id,parent_payment_id
pay_82400073,payment,0.00,5532.85,5532.85,INR,110.66,19.92,N,Y,2026-07-06 13:08:00,2026-07-08 11:00:00,setl_82400005,AXISN260708114011,order_8240080,INV-2627-1081,card,,
pay_82400007,payment,0.00,5325.43,5325.43,INR,0.00,0.00,N,Y,2026-07-06 14:06:00,2026-07-08 11:00:00,setl_82400005,AXISN260708114011,order_8240007,INV-2627-1008,upi,,
pay_82400118,payment,0.00,6625.76,6625.76,INR,132.52,23.85,N,Y,2026-07-06 15:31:00,2026-07-08 11:00:00,setl_82400005,AXISN260708114011,order_8240125,INV-2627-1126,card,,
pay_82400125,payment,0.00,7267.55,7267.55,INR,0.00,0.00,N,Y,2026-07-06 21:43:00,2026-07-08 11:00:00,setl_82400005,AXISN260708114011,,,upi,,
pay_82400095,payment,0.00,6809.63,6809.63,INR,136.19,24.51,N,Y,2026-07-06 21:51:00,2026-07-08 11:00:00,setl_82400005,AXISN260708114011,order_8240101,INV-2627-1102,card,,
pay_82400119,payment,0.00,5544.81,5544.81,INR,0.00,0.00,N,Y,2026-07-07 10:15:00,2026-07-09 11:00:00,setl_82400006,AXISN260709707695,order_8240126,INV-2627-1127,upi,,
pay_82400105,payment,0.00,1708.58,1708.58,INR,0.00,0.00,N,Y,2026-07-07 15:47:00,2026-07-09 11:00:00,setl_82400006,AXISN260709707695,order_8240110,INV-2627-1111,upi,,
pay_82400122,payment,0.00,4343.79,4343.79,INR,94.38,16.99,N,Y,2026-07-07 17:13:00,2026-07-09 11:00:00,setl_82400006,AXISN260709707695,order_8240129,INV-2627-1130,card,,
pay_82400024,payment,0.00,873.81,873.81,INR,0.00,0.00,N,Y,2026-07-07 22:23:00,2026-07-09 11:00:00,setl_82400006,AXISN260709707695,order_8240026,INV-2627-1027,upi,,
rfnd_82400004,refund,4471.13,0.00,-4471.13,INR,0.00,0.00,N,Y,2026-07-08 12:22:00,2026-07-10 11:00:00,setl_82400007,ICICN260710639127,order_8240061,,card,,pay_82400054
pay_82400030,payment,0.00,2370.93,2370.93,INR,71.13,12.80,N,Y,2026-07-08 13:13:00,2026-07-10 11:00:00,setl_82400007,ICICN260710639127,order_8240035,INV-2627-1036,emi,,
pay_82400089,payment,0.00,6590.76,6590.76,INR,0.00,0.00,N,Y,2026-07-08 19:48:00,2026-07-10 11:00:00,setl_82400007,ICICN260710639127,order_8240095,INV-2627-1096,upi,,
pay_82400018,payment,0.00,4249.96,4249.96,INR,127.50,22.95,N,Y,2026-07-09 06:25:00,2026-07-11 11:00:00,setl_82400008,AXISN260711986167,order_8240018,INV-2627-1019,emi,,
pay_82400060,payment,0.00,9823.04,9823.04,INR,196.46,35.36,N,Y,2026-07-09 08:29:00,2026-07-11 11:00:00,setl_82400008,AXISN260711986167,order_8240067,INV-2627-1068,card,,
pay_82400110,payment,0.00,2143.95,2143.95,INR,0.00,0.00,N,Y,2026-07-09 13:46:00,2026-07-11 11:00:00,setl_82400008,AXISN260711986167,order_8240116,INV-2627-1117,upi,,
pay_82400116,payment,0.00,1123.73,1123.73,INR,22.47,4.04,N,Y,2026-07-09 15:44:00,2026-07-11 11:00:00,setl_82400008,AXISN260711986167,order_8240123,INV-2627-1124,card,,
pay_82400081,payment,0.00,1248.11,1248.11,INR,0.00,0.00,N,Y,2026-07-09 16:54:00,2026-07-11 11:00:00,setl_82400008,AXISN260711986167,order_8240087,INV-2627-1088,upi,,
pay_82400103,payment,0.00,2033.81,2033.81,INR,36.61,6.59,N,Y,2026-07-10 07:41:00,2026-07-12 11:00:00,setl_82400009,SBIN0260712168948,order_8240108,INV-2627-1109,wallet,,
pay_82400115,payment,0.00,8033.51,8033.51,INR,0.00,0.00,Y,N,2026-07-10 13:35:00,,,,order_8240122,INV-2627-1123,upi,,
pay_82400123,payment,0.00,2785.51,2785.51,INR,55.71,10.03,N,Y,2026-07-10 17:35:00,2026-07-12 11:00:00,setl_82400009,SBIN0260712168948,order_8240130,INV-2627-1131,card,,
pay_82400078,payment,0.00,6045.35,6045.35,INR,0.00,0.00,N,Y,2026-07-11 07:10:00,2026-07-13 11:00:00,setl_82400010,ICICN260713699100,order_8240084,INV-2627-1085,upi,,
pay_82400033,payment,0.00,7364.64,7364.64,INR,0.00,0.00,N,Y,2026-07-11 07:52:00,2026-07-13 11:00:00,setl_82400010,ICICN260713699100,order_8240038,INV-2627-1039,upi,,
pay_82400027,payment,0.00,1908.06,1908.06,INR,0.00,0.00,N,Y,2026-07-11 08:01:00,2026-07-13 11:00:00,setl_82400010,ICICN260713699100,order_8240029,INV-2627-1030,upi,,
pay_82400079,payment,0.00,3121.10,3121.10,INR,56.18,10.11,Y,N,2026-07-11 15:57:00,,,,order_8240085,INV-2627-1086,wallet,,
pay_82400112,payment,0.00,4271.95,4271.95,INR,64.08,11.53,N,Y,2026-07-12 06:36:00,2026-07-14 11:00:00,setl_82400011,HDFCN260714855545,order_8240118,INV-2627-1119,netbanking,,
pay_82400065,payment,0.00,6056.69,6056.69,INR,121.13,21.80,N,Y,2026-07-13 06:13:00,2026-07-15 11:00:00,setl_82400012,KKBKN260715519995,order_8240072,INV-2627-1073,card,,
pay_82400086,payment,0.00,4504.64,4504.64,INR,0.00,0.00,N,Y,2026-07-13 20:26:00,2026-07-15 11:00:00,setl_82400012,KKBKN260715519995,order_8240092,INV-2627-1093,upi,,
pay_82400087,payment,0.00,4504.64,4504.64,INR,0.00,0.00,N,Y,2026-07-14 05:59:00,2026-07-16 11:00:00,setl_82400013,ICICN260716844352,order_8240092,INV-2627-1093,upi,,
pay_82400057,payment,0.00,2606.88,2606.88,INR,52.14,9.39,N,Y,2026-07-14 08:44:00,2026-07-16 11:00:00,setl_82400013,ICICN260716844352,order_8240064,INV-2627-1065,card,,
pay_82400052,payment,0.00,10286.51,10286.51,INR,0.00,0.00,N,Y,2026-07-14 14:27:00,2026-07-16 11:00:00,setl_82400013,ICICN260716844352,order_8240059,INV-2627-1060,upi,,
pay_82400099,payment,0.00,10484.77,10484.77,INR,0.00,0.00,N,Y,2026-07-14 14:59:00,2026-07-16 11:00:00,setl_82400013,ICICN260716844352,,,upi,,
pay_82400091,payment,0.00,9025.95,9025.95,INR,162.47,29.24,N,Y,2026-07-14 16:24:00,2026-07-16 11:00:00,setl_82400013,ICICN260716844352,order_8240097,INV-2627-1098,wallet,,
pay_82400025,payment,0.00,6720.99,6720.99,INR,120.98,21.78,N,Y,2026-07-14 19:07:00,2026-07-16 11:00:00,setl_82400013,ICICN260716844352,order_8240027,INV-2627-1028,wallet,,
pay_82400083,payment,0.00,6591.31,6591.31,INR,0.00,0.00,N,Y,2026-07-15 12:20:00,2026-07-17 11:00:00,setl_82400014,KKBKN260717982508,order_8240089,INV-2627-1090,upi,,
pay_82400020,payment,0.00,5276.63,5276.63,INR,105.53,19.00,N,Y,2026-07-15 21:39:00,2026-07-17 11:00:00,setl_82400014,KKBKN260717982508,order_8240021,INV-2627-1022,card,,
pay_82400102,payment,0.00,5389.40,5389.40,INR,188.63,33.95,N,Y,2026-07-16 07:52:00,2026-07-18 11:00:00,setl_82400015,AXISN260718601680,order_8240107,INV-2627-1108,amex,,
pay_82400022,payment,0.00,1649.93,1649.93,INR,33.00,5.94,N,Y,2026-07-16 09:05:00,2026-07-18 11:00:00,setl_82400015,AXISN260718601680,order_8240023,INV-2627-1024,card,,
pay_82400056,payment,0.00,7129.54,7129.54,INR,128.33,23.10,N,Y,2026-07-16 21:48:00,2026-07-18 11:00:00,setl_82400015,AXISN260718601680,order_8240063,INV-2627-1064,wallet,,
pay_82400015,payment,0.00,8329.91,8329.91,INR,166.60,29.99,N,Y,2026-07-17 06:30:00,2026-07-19 11:00:00,setl_82400016,KKBKN260719311944,order_8240016,INV-2627-1017,card,,
pay_82400082,payment,0.00,4036.61,4036.61,INR,80.73,14.53,N,Y,2026-07-17 17:15:00,2026-07-19 11:00:00,setl_82400016,KKBKN260719311944,,,card,,
pay_82400068,payment,0.00,3679.07,3679.07,INR,0.00,0.00,N,Y,2026-07-17 17:47:00,2026-07-19 11:00:00,setl_82400016,KKBKN260719311944,order_8240075,INV-2627-1076,upi,,
pay_82400085,payment,0.00,779.41,779.41,INR,0.00,0.00,N,Y,2026-07-18 09:55:00,2026-07-20 11:00:00,setl_82400017,SBIN0260720365068,order_8240091,INV-2627-1092,upi,,
pay_82400121,payment,0.00,3271.88,3271.88,INR,0.00,0.00,N,Y,2026-07-18 11:16:00,2026-07-20 11:00:00,setl_82400017,SBIN0260720365068,order_8240128,INV-2627-1129,upi,,
pay_82400051,payment,0.00,1546.78,1546.78,INR,0.00,0.00,Y,N,2026-07-18 12:19:00,,,,order_8240057,INV-2627-1058,upi,,
pay_82400053,payment,0.00,10443.29,10443.29,INR,156.65,28.20,N,Y,2026-07-18 16:34:00,2026-07-20 11:00:00,setl_82400017,SBIN0260720365068,order_8240060,INV-2627-1061,netbanking,,
pay_82400124,payment,0.00,1171.32,1171.32,INR,35.14,6.33,N,Y,2026-07-18 16:34:00,2026-07-20 11:00:00,setl_82400017,SBIN0260720365068,order_8240131,INV-2627-1132,emi,,
pay_82400013,payment,0.00,1553.10,1553.10,INR,0.00,0.00,N,Y,2026-07-18 17:42:00,2026-07-20 11:00:00,setl_82400017,SBIN0260720365068,order_8240014,INV-2627-1015,upi,,
pay_82400020b,payment,0.00,2841.26,2841.26,INR,56.83,10.23,N,Y,2026-07-18 21:39:00,2026-07-20 11:00:00,setl_82400017,SBIN0260720365068,order_8240021,INV-2627-1022,card,,
rfnd_82400008,refund,2694.70,0.00,-2694.70,INR,0.00,0.00,N,N,2026-07-19 07:52:00,,,,order_8240107,,amex,,pay_82400102
pay_82400106,payment,0.00,1362.53,1362.53,INR,20.44,3.68,N,N,2026-07-19 15:31:00,,,,order_8240111,INV-2627-1112,netbanking,,
pay_82400022b,payment,0.00,1349.94,1349.94,INR,27.00,4.86,N,Y,2026-07-20 09:05:00,2026-07-22 11:00:00,setl_82400019,SBIN0260722478478,order_8240023,INV-2627-1024,card,,
pay_82400014,payment,0.00,9426.51,9426.51,INR,141.40,25.45,N,Y,2026-07-20 17:22:00,2026-07-22 11:00:00,setl_82400019,SBIN0260722478478,order_8240015,INV-2627-1016,netbanking,,
rfnd_82400006,refund,779.41,0.00,-779.41,INR,0.00,0.00,N,Y,2026-07-21 09:55:00,2026-07-23 11:00:00,setl_82400020,ICICN260723723502,order_8240091,,upi,,pay_82400085
pay_82400100,payment,0.00,2477.56,2477.56,INR,44.60,8.03,N,Y,2026-07-21 13:39:00,2026-07-23 11:00:00,setl_82400020,ICICN260723723502,order_8240105,INV-2627-1106,wallet,,
pay_82400032,payment,0.00,5659.46,5659.46,INR,0.00,0.00,N,Y,2026-07-22 07:42:00,2026-07-24 11:00:00,setl_82400021,KKBKN260724840714,order_8240037,INV-2627-1038,upi,,
pay_82400096,payment,0.00,9122.17,9122.17,INR,164.20,29.56,N,Y,2026-07-22 10:25:00,2026-07-24 11:00:00,setl_82400021,KKBKN260724840714,order_8240102,INV-2627-1103,wallet,,
pay_82400093,payment,0.00,8030.40,8030.40,INR,144.55,26.02,N,Y,2026-07-22 21:49:00,2026-07-24 11:00:00,setl_82400021,KKBKN260724840714,order_8240099,INV-2627-1100,wallet,,
pay_82400097,payment,0.00,9122.17,9122.17,INR,164.20,29.56,N,Y,2026-07-23 10:11:00,2026-07-25 11:00:00,setl_82400022,AXISN260725327302,order_8240102,INV-2627-1103,wallet,,
pay_82400132,payment,0.00,8013.46,8013.46,INR,164.37,29.59,N,Y,2026-07-23 22:53:00,2026-07-25 11:00:00,setl_82400022,AXISN260725327302,order_8240139,INV-2627-1140,card,,
rfnd_82400000,refund,9426.51,0.00,-9426.51,INR,0.00,0.00,N,N,2026-07-24 17:22:00,,,,order_8240015,,netbanking,,pay_82400014
pay_82400084,payment,0.00,8460.22,8460.22,INR,0.00,0.00,N,N,2026-07-24 19:09:00,,,,order_8240090,INV-2627-1091,upi,,
pay_82400029,payment,0.00,8403.50,8403.50,INR,158.76,28.58,N,Y,2026-07-25 09:37:00,2026-07-27 11:00:00,setl_82400024,ICICN260727729956,order_8240031,INV-2627-1032,wallet,,
pay_82400021,payment,0.00,9677.64,9677.64,INR,193.55,34.84,N,Y,2026-07-25 13:20:00,2026-07-27 11:00:00,setl_82400024,ICICN260727729956,order_8240022,INV-2627-1023,card,,
pay_82400127,payment,0.00,10695.12,10695.12,INR,374.33,67.38,N,Y,2026-07-26 11:23:00,2026-07-28 11:00:00,setl_82400025,SBIN0260728871951,order_8240134,INV-2627-1135,amex,,
pay_82400001,payment,0.00,1737.83,1737.83,INR,52.13,9.38,N,Y,2026-07-26 15:15:00,2026-07-28 11:00:00,setl_82400025,SBIN0260728871951,order_8240001,INV-2627-1002,emi,,
pay_82400009,payment,0.00,5811.98,5811.98,INR,116.24,20.92,N,Y,2026-07-26 17:57:00,2026-07-28 11:00:00,setl_82400025,SBIN0260728871951,order_8240010,INV-2627-1011,card,,
pay_82400114,payment,0.00,2798.06,2798.06,INR,0.00,0.00,N,Y,2026-07-26 21:46:00,2026-07-28 11:00:00,setl_82400025,SBIN0260728871951,order_8240121,INV-2627-1122,upi,,
pay_82400061,payment,0.00,3066.74,3066.74,INR,107.34,19.32,N,Y,2026-07-27 09:00:00,2026-07-29 11:00:00,setl_82400026,AXISN260729282728,order_8240068,INV-2627-1069,amex,,
pay_82400109,payment,0.00,5478.09,5478.09,INR,109.56,19.72,N,Y,2026-07-27 11:35:00,2026-07-29 11:00:00,setl_82400026,AXISN260729282728,order_8240114,INV-2627-1115,card,,
pay_82400019,payment,0.00,3338.90,3338.90,INR,0.00,0.00,N,Y,2026-07-27 21:39:00,2026-07-29 11:00:00,setl_82400026,AXISN260729282728,order_8240020,INV-2627-1021,upi,,
pay_82400107,payment,0.00,8818.87,8818.87,INR,158.74,28.57,N,Y,2026-07-28 07:56:00,2026-07-30 11:00:00,setl_82400027,KKBKN260730211485,order_8240112,INV-2627-1113,wallet,,
pay_82400003,payment,0.00,6176.29,6176.29,INR,0.00,0.00,N,Y,2026-07-28 15:39:00,2026-07-30 11:00:00,setl_82400027,KKBKN260730211485,order_8240003,INV-2627-1004,upi,,
pay_82400045,payment,0.00,1508.03,1508.03,INR,27.14,4.89,N,Y,2026-07-28 15:47:00,2026-07-30 11:00:00,setl_82400027,KKBKN260730211485,order_8240050,INV-2627-1051,wallet,,
pay_82400006,payment,0.00,3506.19,3506.19,INR,122.72,22.09,N,Y,2026-07-28 17:22:00,2026-07-30 11:00:00,setl_82400027,KKBKN260730211485,order_8240006,INV-2627-1007,amex,,
pay_82400043,payment,0.00,7310.81,7310.81,INR,0.00,0.00,N,Y,2026-07-29 13:33:00,2026-07-31 11:00:00,setl_82400028,SBIN0260731143610,order_8240048,INV-2627-1049,upi,,
pay_82400058,payment,0.00,8454.27,8454.27,INR,169.09,30.44,N,Y,2026-07-30 09:35:00,2026-08-01 11:00:00,setl_82400029,KKBKN260801891036,order_8240065,INV-2627-1066,card,,
pay_82400005,payment,0.00,2843.26,2843.26,INR,56.87,10.24,N,Y,2026-07-30 15:53:00,2026-08-01 11:00:00,setl_82400029,KKBKN260801891036,order_8240005,INV-2627-1006,card,,
pay_82400036,payment,0.00,1651.37,1651.37,INR,33.03,5.95,N,Y,2026-07-30 18:19:00,2026-08-01 11:00:00,setl_82400029,KKBKN260801891036,order_8240041,INV-2627-1042,card,,
pay_82400008,payment,0.00,2972.70,2972.70,INR,44.59,8.03,N,Y,2026-07-30 19:28:00,2026-08-01 11:00:00,setl_82400029,KKBKN260801891036,order_8240008,INV-2627-1009,netbanking,,
pay_82400046,payment,0.00,7014.47,7014.47,INR,140.29,25.25,N,Y,2026-07-30 21:17:00,2026-08-01 11:00:00,setl_82400029,KKBKN260801891036,order_8240051,INV-2627-1052,card,,
pay_82400037,payment,0.00,8576.37,8576.37,INR,0.00,0.00,N,Y,2026-07-31 15:26:00,2026-08-02 11:00:00,setl_82400030,ICICN260802376886,order_8240042,INV-2627-1043,upi,,
pay_82400130,payment,0.00,6358.23,6358.23,INR,222.54,40.06,N,Y,2026-07-31 16:42:00,2026-08-02 11:00:00,setl_82400030,ICICN260802376886,order_8240137,INV-2627-1138,amex,,
pay_82400059,payment,0.00,9011.01,9011.01,INR,180.22,32.44,N,Y,2026-07-31 17:24:00,2026-08-02 11:00:00,setl_82400030,ICICN260802376886,order_8240066,INV-2627-1067,card,,
rfnd_82490000,refund,2645.35,0.00,-2645.35,INR,0.00,0.00,N,Y,2026-08-01 11:00:00,2026-08-03 11:00:00,setl_82400031,AXISN260803485862,,,card,,pay_82490000
pay_82400010,payment,0.00,10293.40,10293.40,INR,185.28,33.35,N,Y,2026-08-01 13:23:00,2026-08-03 11:00:00,setl_82400031,AXISN260803485862,order_8240011,INV-2627-1012,wallet,,
pay_82400131,payment,0.00,3935.85,3935.85,INR,0.00,0.00,N,Y,2026-08-01 15:19:00,2026-08-03 11:00:00,setl_82400031,AXISN260803485862,order_8240138,INV-2627-1139,upi,,
pay_82400080,payment,0.00,550.26,550.26,INR,11.01,1.98,N,Y,2026-08-01 15:54:00,2026-08-03 11:00:00,setl_82400031,AXISN260803485862,order_8240086,INV-2627-1087,card,,
pay_82400090,payment,0.00,4520.14,4520.14,INR,0.00,0.00,N,Y,2026-08-01 21:55:00,2026-08-03 11:00:00,setl_82400031,AXISN260803485862,order_8240096,INV-2627-1097,upi,,
pay_82400042,payment,0.00,3514.51,3514.51,INR,105.44,18.98,N,Y,2026-08-02 06:41:00,2026-08-04 11:00:00,setl_82400032,KKBKN260804906235,order_8240047,INV-2627-1048,emi,,
pay_82400072,payment,0.00,8556.64,8556.64,INR,171.13,30.80,N,Y,2026-08-02 06:45:00,2026-08-04 11:00:00,setl_82400032,KKBKN260804906235,order_8240079,INV-2627-1080,card,,
rfnd_82490001,refund,909.92,0.00,-909.92,INR,0.00,0.00,N,Y,2026-08-02 11:00:00,2026-08-04 11:00:00,setl_82400032,KKBKN260804906235,,,card,,pay_82490001
pay_82400039,payment,0.00,7218.46,7218.46,INR,216.55,38.98,Y,N,2026-08-02 12:55:00,,,,order_8240044,INV-2627-1045,emi,,
pay_82400113,payment,0.00,9261.41,9261.41,INR,0.00,0.00,N,Y,2026-08-02 22:54:00,2026-08-04 11:00:00,setl_82400032,KKBKN260804906235,order_8240119,INV-2627-1120,upi,,
pay_82400047,payment,0.00,10708.17,10708.17,INR,192.75,34.70,N,Y,2026-08-03 06:47:00,2026-08-05 11:00:00,setl_82400033,AXISN260805597259,order_8240052,INV-2627-1053,wallet,,
adjs_82400000,adjustment,2410.43,0.00,-2410.43,INR,0.00,0.00,N,Y,2026-08-03 09:30:00,2026-08-05 11:00:00,setl_82400033,AXISN260805597259,,,card,disp_8240000,
rfnd_82490002,refund,3078.28,0.00,-3078.28,INR,0.00,0.00,N,Y,2026-08-03 11:00:00,2026-08-05 11:00:00,setl_82400033,AXISN260805597259,,,card,,pay_82490002
pay_82400071,payment,0.00,10818.10,10818.10,INR,162.27,29.21,N,Y,2026-08-03 14:19:00,2026-08-05 11:00:00,setl_82400033,AXISN260805597259,order_8240078,INV-2627-1079,netbanking,,
pay_82400108,payment,0.00,3880.35,3880.35,INR,0.00,0.00,N,Y,2026-08-04 09:26:00,2026-08-06 11:00:00,setl_82400034,HDFCN260806358365,,,upi,,
pay_82400128,payment,0.00,3654.93,3654.93,INR,65.79,11.84,N,Y,2026-08-04 12:39:00,2026-08-06 11:00:00,setl_82400034,HDFCN260806358365,order_8240135,INV-2627-1136,wallet,,
pay_82400069,payment,0.00,6812.94,6812.94,INR,0.00,0.00,N,Y,2026-08-04 13:31:00,2026-08-06 11:00:00,setl_82400034,HDFCN260806358365,order_8240076,INV-2627-1077,upi,,
pay_82400011,payment,0.00,10781.19,10781.19,INR,0.00,0.00,N,Y,2026-08-05 11:47:00,2026-08-07 11:00:00,setl_82400035,ICICN260807333918,order_8240012,INV-2627-1013,upi,,
pay_82400050,payment,0.00,8331.40,8331.40,INR,166.63,29.99,N,Y,2026-08-06 15:35:00,2026-08-08 11:00:00,setl_82400036,SBIN0260808945715,order_8240056,INV-2627-1057,card,,
adjs_82400001,adjustment,2085.10,0.00,-2085.10,INR,0.00,0.00,N,Y,2026-08-07 09:30:00,2026-08-09 11:00:00,setl_82400037,KKBKN260809944541,,,card,disp_8240001,
pay_82400111,payment,0.00,2224.17,2224.17,INR,40.04,7.21,N,Y,2026-08-07 15:22:00,2026-08-09 11:00:00,setl_82400037,KKBKN260809944541,order_8240117,INV-2627-1118,wallet,,
pay_82400055,payment,0.00,1425.46,1425.46,INR,25.66,4.62,N,Y,2026-08-07 17:10:00,2026-08-09 11:00:00,setl_82400037,KKBKN260809944541,order_8240062,INV-2627-1063,wallet,,
pay_82400004,payment,0.00,4433.21,4433.21,INR,137.10,24.68,N,Y,2026-08-07 19:15:00,2026-08-09 11:00:00,setl_82400037,KKBKN260809944541,order_8240004,INV-2627-1005,emi,,
pay_82400012,payment,0.00,532.45,532.45,INR,0.00,0.00,N,Y,2026-08-08 08:00:00,2026-08-10 11:00:00,setl_82400038,HDFCN260810304429,order_8240013,INV-2627-1014,upi,,
pay_82400101,payment,0.00,9193.63,9193.63,INR,0.00,0.00,N,Y,2026-08-08 18:28:00,2026-08-10 11:00:00,setl_82400038,HDFCN260810304429,order_8240106,INV-2627-1107,upi,,
rfnd_82400003,refund,8331.40,0.00,-8331.40,INR,0.00,0.00,N,N,2026-08-09 15:35:00,,,,order_8240056,,card,,pay_82400050
pay_82400077,payment,0.00,6450.71,6450.71,INR,129.01,23.22,N,Y,2026-08-10 06:02:00,2026-08-12 11:00:00,setl_82400040,ICICN260812251568,order_8240083,INV-2627-1084,card,,
pay_82400049,payment,0.00,1157.28,1157.28,INR,17.36,3.12,N,Y,2026-08-10 11:24:00,2026-08-12 11:00:00,setl_82400040,ICICN260812251568,order_8240055,INV-2627-1056,netbanking,,
pay_82400129,payment,0.00,9081.11,9081.11,INR,181.62,32.69,N,Y,2026-08-11 07:13:00,2026-08-13 11:00:00,setl_82400041,SBIN0260813364269,order_8240136,INV-2627-1137,card,,
pay_82400094,payment,0.00,1707.87,1707.87,INR,0.00,0.00,N,Y,2026-08-11 07:47:00,2026-08-13 11:00:00,setl_82400041,SBIN0260813364269,order_8240100,INV-2627-1101,upi,,
adjs_82400002,adjustment,2979.08,0.00,-2979.08,INR,0.00,0.00,N,Y,2026-08-11 09:30:00,2026-08-13 11:00:00,setl_82400041,SBIN0260813364269,,,card,disp_8240002,
pay_82400066,payment,0.00,5401.21,5401.21,INR,108.02,19.44,N,Y,2026-08-11 11:15:00,2026-08-13 11:00:00,setl_82400041,SBIN0260813364269,order_8240073,INV-2627-1074,card,,
